Date,RG03,RG09,RG10_30,RG20_25
08/31/2012,0,0,0,0
05/31/2007,0,0,0.13,0.09
04/30/2007,0.59,0,0.55,1.62
05/31/2017,0.01,0.02,0.14,0
07/31/2013,0.09,0.03,0.09,0.15
07/31/2003,0.16,0.06,0.14,0
08/31/2006,0.07,0.06,0.05,0.24
07/31/2006,0.07,0.08,0.05,0.06
08/31/2011,0.06,0.11,0.09,0.06
07/31/2009,0.1,0.11,0.06,0.08
06/30/2009,0.11,0.16,0.56,0.21
08/31/2016,0.03,0.17,0.02,0.03
06/30/2015,0.12,0.21,0.17,0.17
08/31/2003,0.29,0.22,0.68,0.24
07/31/2010,0.18,0.22,0.34,0.34
07/31/2008,0.37,0.25,0.51,0.32
09/30/2012,0.2,0.26,0.08,0.11
07/31/2015,0.25,0.27,0.14,0.22
07/31/2004,0.3,0.35,0.3,0.3
06/30/2007,0,0.47,1.15,0.15
04/30/2004,0.64,0.55,0.38,0.47
08/31/2005,0.06,0.58,0.44,0.18
07/31/2016,0.58,0.62,0.46,0.63
05/31/2008,0.68,0.64,1.33,0.74
07/31/2011,0.54,0.74,0.8,0.74
09/30/2008,0.73,0.75,0.74,0.74
05/31/2015,0.65,0.79,0.57,0.57
06/30/2003,0.4,0.79,0.33,0.87
09/30/2005,1.41,0.82,1.02,1.55
07/31/2005,0.75,0.84,1,0.94
06/30/2004,0.72,0.86,0.57,0.63
08/31/2007,0.88,0.88,1.14,0.88
08/31/2009,0.76,0.89,1.08,0.86
05/31/2003,1.51,0.93,0.83,1.47
09/30/2006,1.31,0.94,1.97,1.4
08/31/2010,0.82,0.96,0.59,0.72
02/28/2005,0.92,0.97,1.17,0.9
09/30/2003,0.39,0.99,0.4,0.54
07/31/2014,0.98,0.99,1.09,0.67
08/31/2013,1.02,1,1.24,1.08
05/31/2006,1.47,1.01,1.5,1.42
06/30/2014,0.9,1.12,0.79,1.08
09/30/2011,0.94,1.13,1.21,1.15
10/31/2013,0.9,1.14,1.76,1
06/30/2006,1.7,1.19,1.59,1.55
12/31/2013,1.25,1.24,1.57,1.47
09/30/2016,1.37,1.27,0.87,1.07
08/31/2014,1.29,1.29,1.48,1.35
05/31/2016,1.43,1.3,0.88,1.86
06/30/2011,1.5,1.33,1.55,1.65
06/30/2016,1.75,1.34,1.73,1.76
04/30/2016,1.33,1.36,1.38,1.86
02/29/2008,1.39,1.37,1.39,1.43
07/31/2007,0.75,1.42,1.43,1.38
04/30/2003,2.69,1.45,1.78,2.01
03/31/2006,1.11,1.47,1.67,1.29
10/31/2006,1.31,1.48,1.56,1.46
04/30/2015,1.89,1.62,2.11,2.42
03/31/2004,1.85,1.7,2.21,2.03
07/31/2012,1.27,1.71,1.37,1.42
02/28/2003,1.7,1.73,1.18,1.34
02/28/2013,1.67,1.77,1.78,1.47
12/31/2011,1.54,1.83,2.1,1.69
06/30/2005,1.6,1.85,3.57,1.49
05/31/2013,1.3,1.85,1.95,1.54
02/28/2007,1.92,1.87,3.16,1.91
06/30/2013,1.56,1.92,1.74,1.71
09/30/2004,1.91,1.93,2.24,1.35
06/30/2008,1.68,1.95,1.64,2.07
12/31/2012,8.94,10.01,9.3,8.37
11/30/2006,12.18,10.63,14.68,11.64
12/31/2015,10.14,11.21,10.88,10.66
04/30/2006,1.96,2,2.72,1.76
09/30/2015,2.2,2.03,1.3,1.78
02/28/2009,1.82,2.1,1.75,1.69
09/30/2007,2.08,2.13,2.66,2.19
05/31/2012,2.34,2.17,2.65,2.33
10/31/2008,2.27,2.18,2.18,2.43
04/30/2008,2.25,2.25,1.71,1.97
09/30/2009,2.05,2.3,2.49,2.54
10/31/2005,2.77,2.34,2.78,2.05
12/31/2002,5.46,2.35,6.48,5.6
04/30/2012,2.24,2.42,2.8,2.39
02/29/2004,2.41,2.56,2.59,2.49
05/31/2004,2.46,2.59,1.46,2.68
12/31/2009,2.23,2.6,2.8,2.34
05/31/2014,2.2,2.6,3.14,2.62
03/31/2007,2.86,2.64,4.66,3.11
01/31/2015,2.72,2.66,3.2,3.01
02/28/2006,2.81,2.69,3.3,2.69
05/31/2005,2.74,2.69,3.06,2.98
09/30/2014,2.69,2.69,2.61,3.41
06/30/2010,2.56,2.71,2.66,2.02
03/31/2013,2.77,2.76,2.75,2.53
10/31/2007,2.69,2.79,3.55,2.45
11/30/2013,2.58,2.79,3.54,2.9
01/31/2007,2.94,2.8,4.28,3.3
10/31/2004,2.07,2.81,2.05,1.7
11/30/2002,2.88,2.93,3.25,3.15
11/30/2007,2.76,2.95,3.57,2.98
08/31/2015,3.42,2.96,2.97,2.76
08/31/2004,3.2,3.03,2.93,3.2
04/30/2005,2.73,3.06,3.72,2.76
